Category Level 1	Category Level 2	Category Level 3	ID	Article Title
Business/Economy	Corporate News	Aviation	69226236f58f79a697d313b4	Fuel tanker explosion and crash in Mexico kills at least 15
Business/Economy	Corporate News	Mergers & Acquisitions	69226240f58f79a697d313ea	ExxonMobil drops $35 billion bid for Chevron
Business/Economy	Corporate News	Media Acquisitions	69226318f58f79a697d315d7	Daily Mail publisher agrees to buy Daily Telegraph for £500m
Business/Economy	Corporate News	Media Acquisitions	69226231f58f79a697d3138f	Daily Mail in talks to buy The Telegraph for £500million
Business/Economy	Corporate News	Media Acquisitions	69226227f58f79a697d31348	Daily Mail owner strikes $856 million deal to buy Telegraph
Business/Economy	Corporate News	Legal Settlements	6922629ff58f79a697d3155b	Class-Action Lawsuit in Plant-Based Milk Recall Settled at $6.5M
Business/Economy	Corporate News	Robotics/Legal	6922622ef58f79a697d3135e	Figure AI sued by whistleblower who warned that startup's robots could 'fracture a human skull'
Business/Economy	Corporate News	Labor Disputes	6920f70d64a37efc5bbf9186	Christmas chaos: Major delivery company could see delivery strike over holidays
Business/Economy	Corporate News	Tech/AI	6922631bf58f79a697d315eb	Meta to sell AI chips to other tech companies
Business/Economy	Corporate News	Tech/Trade	69226311f58f79a697d315a4	U.S. mulls letting Nvidia sell H200 chips to China	 sources say
Business/Economy	Finance/Markets	Stock Analysis	6922631bf58f79a697d315e8	Cramer's week ahead: Earnings from Burlington	 Best Buy	 Kohl's and Dell
Business/Economy	Finance/Markets	Corporate Investment	69226253f58f79a697d3141e	Does Berkshire's big tech bet signal a new risk tolerance in Omaha?
Business/Economy	Finance/Markets	Stock Analysis	6920f68564a37efc5bbf9034	Here are real AI stocks to invest in and speculative ones to avoid
Business/Economy	Finance/Markets	Stock Analysis	6920f68264a37efc5bbf902b	Robinhood shares drop 12% this week amid losses in bitcoin	 AI stocks
Business/Economy	Middle East Economy	Industry	6922624df58f79a697d31413	Iran moves up 3 spots in global ranking of steelmakers
Business/Economy	Middle East Economy	Trade/Diplomacy	6922624af58f79a697d3140e	Iraqi ministry plans increase in trade with Iran to $20b
Business/Economy	North America Economy	Labor Disputes	6922629ff58f79a697d3155c	Canada Post Reaches Deal in Principle With Union	 Strike Suspended
Business/Economy	Europe Economy	International Trade	69226268f58f79a697d3149c	Despite a changing economic and political relationship	 German companies are still tied to China. Why can’t they walk away?
Business/Economy	Europe Economy	UK Policy/Automotive	6922623ff58f79a697d313d6	EV grant scheme boost worth £1.3bn expected in Budget
Business/Economy	Europe Economy	UK Policy/Finance	6922623ff58f79a697d313d5	Fear and scepticism as Reeves prepares for her big Budget moment
Business/Economy	US Economy	Consumer Trends	69226278f58f79a697d314e4	Holiday Joy: Thanksgiving Meal Costs Decline To Lowest In Four Years
Business/Economy	US Economy	Federal Reserve/Employment	69226279f58f79a697d314fb	Breitbart Business Digest: Jobs Are Growing and Powell's Fed Is Unraveling
Business/Economy	US Economy	Taxation/Crypto	69226319f58f79a697d315e1	IRS crackdown on popular crypto 'tax cheat' begins with 2025 filing year
Business/Economy	US Economy	Employment/Labor	69226232f58f79a697d31395	Americans with four-year degrees now comprise a record 25% of unemployed workers
Business/Economy	US Economy	Trade/Tariffs	6922630cf58f79a697d31594	Trump White House prepares tariff fallback ahead of court ruling
Crime	Asia Crime	Japan Crime	6922630ff58f79a697d3159f	GSDF officer arrested over stabbing woman in Tokyo’s Akasaka area
Crime	Asia Crime	Japan Crime	6922630af58f79a697d3158f	Japan Ground Self-Defense Force member arrested over stabbing in Tokyo's Akasaka
Crime	Asia Crime	Japan Crime	6922630af58f79a697d31590	Japan releases crime data	 counters Chinese claim of deteriorating safety
Crime	Asia Crime	Terrorism	69226238f58f79a697d313be	Delhi blast case: J-K Police make another arrest linked to 'white-collar' terror module	 Pulwama man held
Crime	Asia Crime	Terrorism	69226239f58f79a697d313c2	Delhi blast UPDATE: Kashmiri PhD student from IIT Kanpur goes MISSING	 probe underway as links with Dr Shaheen	 Dr Parvez Ansari found...
Crime	Asia Crime	Terrorism/Arms Trafficking	69226238f58f79a697d313c0	Days after Delhi blast	 major arms racket busted: China-made weapons were supplied to India from Pakistan
Crime	Europe Crime	Theft/Art Crime	6922631bf58f79a697d315e9	2 Robbers Overpower Guard and Steal Dozens of Ancient Gold Coins From Swiss Museum
Crime	UK Crime	Fraud	69226231f58f79a697d31386	Benefits fraudster admits pocketing £7k council tax support while holidaying in Greece and Spain
Crime	UK Crime	Assault	6922627bf58f79a697d31513	'Bridgerton' Actress Genevieve Chenneour Posts Tear-Filled Video After Random Assault in London
Crime	UK Crime	Negligence	69226277f58f79a697d314de	Bus driver who drove off without infant's mother to be investigated
Crime	UK Crime	Drug Trafficking	69226230f58f79a697d3137b	Drug dealer pleads with police to hand back 'National Lottery winnings' after admitting 'drug dealing is bad'
Crime	UK Crime	Hate Crime	69226231f58f79a697d3138b	Woman arrested after 'racist tirade' on UK bus is released on bail
Crime	UK Crime	Unsolved Death	69226230f58f79a697d31378	Investigation into mysterious death of British expat in Spain closed without explanation as family vent their fury
Crime	Middle East Crime	Judicial/Police Action	69226277f58f79a697d314df	Jurors in murder trial of Israeli soldier for killing of Palestinian youth view bodycam footage
Crime	Latin America Crime	Police Operations	69226222f58f79a697d3133e	He was shot during Brazil's deadliest police raid. Now his wife is fighting to clear his name
Crime	Latin America Crime	Police Operations	69226217f58f79a697d31324	Fifth police officer dies after Brazil’s deadliest anti-drug raid
Crime	International Crime	Kidnapping/Conspiracy	69226236f58f79a697d313b7	Prosecutors say 2 Texas men made plans to take over a Haitian island
Crime	International Crime	Kidnapping	69226224f58f79a697d31341	Four US citizens kidnapped in Mexico	 and police are investigating a possible ransom plot
Crime	US Crime	Murder/Road Rage	69226274f58f79a697d314bb	Bodycam footage shows Nevada stepdad scream ‘my kid is dead’ after 11-year-old is killed in road-rage shooting
Crime	US Crime	Assault/Road Rage	6920f6e364a37efc5bbf90e1	Bystander	 38	 knifed in back by driver who confronted him for recording road rage clash: cops	 sources
Crime	US Crime	Assassination Attempt	69226231f58f79a697d31392	EXCLUSIVE: FBI concludes Trump shooter Thomas Crooks acted alone after unprecedented global investigation
Crime	US Crime	Transit/Policy Debate	6922631cf58f79a697d315ff	Chicago train fire attack shows why ‘decarceration’ policies are putting lives at risk: expert
Crime	US Crime	Drug/Accident Inquiry	69226217f58f79a697d31321	Falling objects: Teen on LI yacht had only ‘trace amount of cocaine’ in system	 family claims — contradicting cops
Crime	US Crime	Domestic Violence	69226278f58f79a697d314e3	Florida man shot by police after threatening to kill pregnant wife
Crime	US Crime	Hate Crime/Arson	69226241f58f79a697d313fb	Minnesota mosque fire set intentionally	 police confirm
Crime	US Crime	Judicial/Policy	69226240f58f79a697d313e7	Illinois to end cash bail on Jan 1	 2023
Crime	US Crime	Judicial Error	69226318f58f79a697d315d0	'It's a different world now' - man wrongly jailed for 38 years adjusts to life outside
Crime	US Crime	Mass Violence	6922623ff58f79a697d313da	4 injured in shooting near Christmas tree lighting ceremony
Crime	US Crime	Mass Violence	69226235f58f79a697d313ad	4 shot during North Carolina city's Christmas tree lighting ceremony
Crime	US Crime	Mass Violence	6922627af58f79a697d31505	Democrat-Run Chicago: 9 Shot After Downtown Christmas Tree Lighting
Crime	US Crime	Mass Violence	69226240f58f79a697d313df	President says Chicagoans are 'chanting bring in Trump' after violent downtown riot leaves 8 shot	 1 dead
Crime	US Crime	School Violence	6920f6e564a37efc5bbf90ea	Boy	 17	 slashed with scalpel during bloody fight at NYC high school — 2 in custody: cops
Crime	US Crime	Kidnapping/Torture	6920f6e564a37efc5bbf90eb	‘Captors’ give sick excuse for chaining	 torturing woman in yard for months: ‘Some people like getting frisky’
Crime	US Crime	Judicial/Police Action	6920f6e364a37efc5bbf90df	Ex-New York state trooper acquitted of murder in highway chase that killed 11-year-old girl
Crime	US Crime	Judicial/Police Action	69226274f58f79a697d314ba	New York state trooper acquitted of murder in high-speed chase that killed 11-year-old girl
Crime	US Crime	Judicial/Police Action	69226274f58f79a697d314ba	New York to close two jails due to declining inmate population
Culture/Lifestyle	Religion	Islamic Holiday	6922624af58f79a697d3140d	Alawi grief and Fatimid tragedy on martyrdom anniversary
Culture/Lifestyle	Animals	US Incidents	6920f6e364a37efc5bbf90dd	Bald eagle drops cat mid-flight	 sending carcass careening through moving car: ‘I have guts all over me’
Culture/Lifestyle	People	Celebrities/Religion	6922631cf58f79a697d315fb	Candace Cameron Bure admits she turned down Hollywood scripts with sex scenes that conflict with her beliefs
Culture/Lifestyle	People	Celebrities	6922631cf58f79a697d315f5	'Breaking Bad' star Aaron Paul moves family from Los Angeles to Paris after LA fires
Culture/Lifestyle	People	Celebrities	6922631cf58f79a697d315ee	Eddie Murphy reveals the 3 blockbuster hits he wishes he never turned down
Culture/Lifestyle	People	Celebrities	6922631af58f79a697d315e6	Lindsay Lohan says she and husband Bader Shammas are expecting second child
Culture/Lifestyle	People	Celebrities	6922631af58f79a697d315e5	Matt LeBlanc makes rare public appearance	 says he's 'living my best life'
Culture/Lifestyle	People	Health/Wellness	69226254f58f79a697d31422	4 ways Victoria Beckham's wellness routine has changed since the early 2000s: I feel 'stronger than I did when I was 20	' she said
Culture/Lifestyle	People	Kennedy Family	6922623ff58f79a697d313d8	JFK's granddaughter reveals terminal cancer diagnosis
Culture/Lifestyle	People	Kennedy Family	69226217f58f79a697d31323	A cancer diagnosis for Tatiana Schlossberg brings a new season of grief to the Kennedy family
Culture/Lifestyle	People	Kennedy Family	6922631df58f79a697d3161a	JFK's granddaughter shares terminal cancer diagnosis
Culture/Lifestyle	People	Kennedy Family	6922631cf58f79a697d315ef	JFK's grandson shares tribute to sister Tatiana Schlossberg after cancer diagnosis
Culture/Lifestyle	People	Kennedy Family	69226275f58f79a697d314c8	‘Kennedy curse’ strikes again: Tatiana Schlossberg’s leukemia diagnosis extends brutal tragedy timeline
Culture/Lifestyle	People	Political Families	6922623af58f79a697d313c7	Netra Mantena wedding: Donald Trump Jr attends Netra-Vamsi's wedding festivities	 check full itinerary here
Culture/Lifestyle	People	Political Families	69226318f58f79a697d315d4	Princess Diana's personal designer Paul Costelloe dies aged 80
Culture/Lifestyle	History/Media	UK Royalty/Tribute	69226230f58f79a697d31383	Britons plant bulbs in tribute to Queen Elizabeth II in iconic London park
Culture/Lifestyle	History/Media	Social History	69226234f58f79a697d313a4	Comic books once stoked fears of crime	 but a California city wants to confront that history
Culture/Lifestyle	Health/Wellness	Trends	69226318f58f79a697d315d2	Cold plunges and kombucha: Do winter wellness trends really work?
Culture/Lifestyle	Health/Wellness	Advice	69226255f58f79a697d31424	Deepak Chopra: If you have at least 6 one-on-one conversations a day	 'everything improves in your life'—here's why
Culture/Lifestyle	Health/Wellness	Fitness	69226234f58f79a697d313a1	Joe Rogan’s favorite workout involves 3 specific exercises—here's why he says it's ‘the best’
Culture/Lifestyle	Food & Drink	Film	6920f6e764a37efc5bbf90f1	Eat	 slurp	 love: 'Tampopo' turns 40
Culture/Lifestyle	Food & Drink	Recipes	6922630ef58f79a697d31597	From Otaru with love	 a recipe for salmon-topped miso ramen
Culture/Lifestyle	Food & Drink	Trends	6920f6e664a37efc5bbf90f0	‘Tampopo’ lives on in bowls of ramen around the world
Culture/Lifestyle	Food & Drink	Travel/Local	6922630ef58f79a697d31598	Tokyo’s western edge is a ramen wonderland
Culture/Lifestyle	Media/Arts	Public Art	69226238f58f79a697d313c1	Greater London Authority launches investigation into Christmas mural
Culture/Lifestyle	Media/Arts	Public Art	69226230f58f79a697d31382	Christmas mural urgently removed from London neighbourhood after serious errors pointed out
Culture/Lifestyle	Media/Arts	Art/Cryptography	69226236f58f79a697d313b8	Info to decipher secret message in Kryptos sculpture at CIA headquarters sells for close to $1M
Culture/Lifestyle	Media/Arts	Art/Auctions	6920f70b64a37efc5bbf9166	Frida Kahlo Portrait Sells for $55 Million	 Setting Her Auction Record
Culture/Lifestyle	Media/Arts	Comic Books/Auctions	6920f70d64a37efc5bbf9188	First standalone Superman comic sells for record $9.12million after attic discovery
Culture/Lifestyle	Media/Arts	Literature	6920f6fa64a37efc5bbf9129	Haiku in English: Nov. 22	 2025
Culture/Lifestyle	Media/Arts	Literature	69226305f58f79a697d31583	Edging Toward Japan: The Russian dolls of Japanese literature
Culture/Lifestyle	Media/Arts	Political Media	6922631df58f79a697d3160c	Jasmine Crockett is on a cringe streak	 and I’m here for it
Culture/Lifestyle	Media/Arts	Film	69226250f58f79a697d31419	Kamal Haasan	 Shah Rukh Khan and Deepika Padukone's action film 'Jawan' is a major success
Culture/Lifestyle	Media/Arts	Film/Awards	6922629bf58f79a697d31554	‘KPop Demon Hunters’ is officially eligible for the Oscars
Culture/Lifestyle	Media/Arts	TV/Competition	69226317f58f79a697d315ce	La Voix drops out of Strictly after injury
Culture/Lifestyle	Media/Arts	Academia/Journalism	69226312f58f79a697d315aa	New York Times columnist David Brooks to join faculty at Yale
Culture/Lifestyle	Media/Arts	Commentary	6922627cf58f79a697d31524	My polemic against the Left's loathing of the working class has renewed urgency five years on - Paul Embery
Culture/Lifestyle	Media/Arts	TV/Commentary	69226230f58f79a697d3137d	'Do NOT interrupt me!' Nana Akua slaps down GB News guest amid debate on racism in a nail-biting exchange
Culture/Lifestyle	Media/Arts	Pageants/Social Issues	69226307f58f79a697d31587	Fatima Bosch's Miss Universe 2025 win echoes in Mexico where women fight for equality
Culture/Lifestyle	Social Trends	Japan	6922630bf58f79a697d31592	'Rental Family' spotlights real-life Japanese businesses that offer fill-in relatives	 friends
Culture/Lifestyle	Social Issues	Women's Rights	6922625ef58f79a697d3142e	A Day Without Women
Culture/Lifestyle	Social Issues	UK Social Policy	6922627cf58f79a697d31526	Women-only train carriages are another lurch towards a more medieval Britain - Colin Brazier
Culture/Lifestyle	Holidays	UK Law Enforcement	69226231f58f79a697d3138a	Driver pulled over by 'Grinch' police for covering car in Christmas lights amid Highway Code warning
Culture/Lifestyle	General	Misc	69226233f58f79a697d3139e	Pushing Off
Culture/Lifestyle	General	Misc	69226279f58f79a697d314f2	WORST…
Disasters/Accidents	Aviation	Military Airshow	69226312f58f79a697d315a6	Indian Tejas fighter jet crashes in a ball of fire at Dubai Airshow	 killing pilot
Disasters/Accidents	Aviation	Military Airshow	69226237f58f79a697d313bb	'Dedicated	 exceptional': IAF pays tribute to Wing Commander Namansh Syal who died in Tejas crash
Disasters/Accidents	Aviation	Military Airshow	69226236f58f79a697d313ba	India's defence ministry pays tribute to pilot who died in Tejas crash at Dubai Airshow
Disasters/Accidents	Aviation	Air Traffic Control	6922631ef58f79a697d3161b	Drones sightings halt air traffic near Dutch city of Eindhoven
Disasters/Accidents	Aviation	Regulatory Action	69226276f58f79a697d314d0	FAA proposes $554K fine against airline for flying 'unsafe' planes
Disasters/Accidents	Maritime	Piracy	69226233f58f79a697d3139a	Maritime Authority issues warning to all vessels over potential piracy threats in Gulf of Aden
Disasters/Accidents	Maritime	US Port Incidents	69226234f58f79a697d313a7	Dozens of firefighters battle blaze on container ship docked at LA port
Disasters/Accidents	Maritime	US Port Incidents	6922627cf58f79a697d31521	Dozens of Firefighters Battle Blaze on Container Ship Docked at LA Port
Disasters/Accidents	Maritime	US Port Incidents	6922622bf58f79a697d31352	Crew evacuated after fire on container ship at Los Angeles port	 officials said
Disasters/Accidents	Maritime	US Port Incidents	6922631df58f79a697d31612	Fire on ship docked at Port of Los Angeles prompts evacuation of crew	 officials say
Disasters/Accidents	Maritime	US Port Incidents	69226251f58f79a697d3141a	Fire breaks out on cargo ship in Port of Los Angeles
Disasters/Accidents	Natural Disasters	Asia	69226242f58f79a697d313ff	Earthquake Jolts Bangladesh	 Killing 5 and Injuring Around 100
Disasters/Accidents	Natural Disasters	Asia	69226221f58f79a697d3133c	Iran battles fire in UNESCO-listed forest	 gets Turkey's help
Disasters/Accidents	Natural Disasters	US Weather	6922629bf58f79a697d31552	Governor orders schools to close as heavy snow hits
Disasters/Accidents	Natural Disasters	US Weather	6922630cf58f79a697d31593	Governor orders schools to close as heavy snow hits
Disasters/Accidents	Natural Disasters	North Africa Policy	69226229f58f79a697d3134d	Morocco: Earthquake aid blocked	 but government still refuses to ask for international help
Disasters/Accidents	Natural Disasters	North Africa Policy	69226275f58f79a697d314c9	Morocco earthquake: Aid is still blocked from reaching some areas
Disasters/Accidents	Road/Traffic	Egypt	6922625af58f79a697d31429	Car crash kills 3 members of one family in Minya
Disasters/Accidents	Travel	Cruise Ship Incidents	6922631df58f79a697d3160f	Anna Kepner dies mysteriously during family vacation on Carnival cruise ship: Timeline of events
Disasters/Accidents	Travel	Cruise Ship Incidents	69226276f58f79a697d314ca	Anna Kepner posted eerie TikTok lip-syncing to song about dying young in days before her death on Carnival cruise
Disasters/Accidents	Travel	Cruise Ship Incidents	69226276f58f79a697d314cd	Anna Kepner’s mom found out about daughter’s cruise death on Google	 blames ex for fraught relationship
Disasters/Accidents	Travel	Cruise Ship Incidents	6922631ef58f79a697d31622	Man dies after falling from cruise ship off the coast of Florida
Disasters/Accidents	Workplace	Asia	6922630af58f79a697d31591	Worker from Thailand dies at zoo in Japan's Chiba Pref.	 likely crushed by elephant
Disasters/Accidents	Workplace	Europe	6922622af58f79a697d3134f	Spain coal mine accident kills two workers
Disasters/Accidents	Wildlife	Canada	6920f70f64a37efc5bbf9198	3 Children Are Injured in Grizzly Bear Attack in British Columbia
Disasters/Accidents	Wildlife	Canada	6922629ff58f79a697d31560	3 Children	 1 Adult Taken to Hospital After Grizzly Bear Attack in BC
Disasters/Accidents	Wildlife	Canada	6920f77464a37efc5bbf92f6	Grizzly bear attack on Canada school children leaves 4 seriously injured
Disasters/Accidents	Wildlife	Canada	6922626df58f79a697d314a6	Grizzly bear attack on school group in Canada leaves 4 seriously hurt
Disasters/Accidents	Wildlife	Asia	6922622ff58f79a697d31370	Japan suffered deadliest month of bear attacks in history	 with 7 deaths and 88 maulings in October
Environment	Climate Change	Migration Policy	6922627ef58f79a697d3152a	As climate migration rises	 rich countries are ramping up spending to police their borders
Environment	Climate Change	India/Agriculture	6922627ff58f79a697d3152d	Eco India	 Episode 306: How farmers are reimagining agriculture for a changing world
Environment	Climate Change	Global Leadership	69226311f58f79a697d315a3	Why China isn’t filling climate leadership void after U.S. retreat
Environment	Climate Change	US Climate Policy	69226234f58f79a697d313a5	Alaska Native villages have few options and little US help as climate change devours their land
Environment	Climate Change	UN Summit	692261ddf58f79a697d3124c	COP30 extended due to rift over future of fossil fuel: ‘Clown show’
Environment	Climate Change	UN Summit	69226221f58f79a697d3133a	COP30 seals uneasy climate deal that sidesteps fossil fuels
Environment	Climate Change	UN Summit	69226295f58f79a697d3154c	COP30 climate summit deadlocked as EU rejects draft deal
Environment	Climate Change	UN Summit	6922631ef58f79a697d31620	COP30 - Five key takeaways from a deeply divisive climate summit
Environment	Climate Change	UN Summit	69226267f58f79a697d31499	COP30: No fossil fuel deal after protests	 chaos and compromise
Environment	Climate Change	Activism/Protest	69226220f58f79a697d31338	Climate activists dye Venice’s Grand Canal green amid UN summit
Environment	Climate Change	UN Summit	6920f6e164a37efc5bbf90c6	'A lot of fighting': Fossil fuel row breaks out at UN climate summit
Environment	Climate Change	UN Summit	69226217f58f79a697d31322	Boos	 blowups and last-minute pause as a chaotic COP30 closes out
Environment	Conservation	UK	69226318f58f79a697d315d5	First Sycamore Gap tree 'offsprings' planted in Northumberland and Yorkshire
Environment	Pollution	India Air Quality	6922623bf58f79a697d313c9	Delhi-NCR pollution: Air quality remains 'very poor' despite slight improvement in AQI
International Relations	Africa/Middle East	Diplomacy	69226258f58f79a697d31427	Egypt	 Finland hold talks on UN agenda and regional crises
International Relations	Asia-Pacific	Taiwan Dispute	6922630ff58f79a697d3159d	China takes spat with Japan over Taiwan to U.N. and vows to defend itself
International Relations	Asia-Pacific	Taiwan Dispute	69226293f58f79a697d3154a	China takes spat with Japan over Taiwan to U.N.; vows to defend itself
International Relations	Asia-Pacific	China-Japan Tensions	69226311f58f79a697d315a2	Japan set to lean on U.S. allies for support if China escalates
International Relations	Asia-Pacific	China-Japan Tensions	69226307f58f79a697d31589	China spurns Japan's trilateral summit plan over Takaichi's Taiwan remarks
International Relations	Global Summits	G20 Summit	6922627bf58f79a697d3151f	Africa's first G20 summit opens with an ambitious agenda and tries to move on from Trump's boycott
International Relations	Global Summits	G20 Summit	69226309f58f79a697d3158d	Africa's first G20 summit opens with an ambitious agenda and tries to move on from Trump's boycott
International Relations	Global Summits	G20 Summit	692261a7f58f79a697d31246	Anthony Albanese says being present at G20 summit in South Africa opens doors that will benefit Australia
International Relations	Global Summits	G20 Summit	69226226f58f79a697d31346	Canada's Carney and France's Macron discuss Ukraine	 Gaza on G20 sidelines
International Relations	Global Summits	G20 Summit	69226311f58f79a697d315a3	France's Macron	 in South Africa for G-20	 warns of dangers from war in Ukraine	 US foreign policy
International Relations	Global Summits	G20 Summit	69226279f58f79a697d314f8	France: Macron warns against 'new walls' between nations at G20 in South Africa
International Relations	Global Summits	G20 Summit	69226222f58f79a697d3133d	French President Macron	 who called NATO brain-dead	 warns of end to G-20
International Relations	Global Summits	G20 Summit	6922621bf58f79a697d3132d	G-20 summit in South Africa adopts declaration despite US boycott	 opposition
International Relations	Global Summits	G20 Summit	6922623cf58f79a697d313cb	G20 Summit: Russia denounces 'illegitimate	 unilateral' sanctions
International Relations	Global Summits	G20 Summit	6922623cf58f79a697d313cd	G20 summit in South Africa adopts declaration despite US boycott
International Relations	Global Summits	G20 Summit	69226213f58f79a697d31318	G20 adopts declaration despite US absence
International Relations	Global Summits	G20 Summit	69226306f58f79a697d31585	G20 summit vows to tackle "unilateral trade measures" amid US absence
International Relations	Global Summits	G20 Summit	69226229f58f79a697d3134c	G20 leaders meet in South Africa seeking agreement	 despite US boycott
International Relations	Global Summits	G20 Summit	6922629ef58f79a697d31559	G20: Canada's Carney	 France's Macron discuss Ukraine	 Gaza
International Relations	Global Security	Military Technology	6922622ef58f79a697d31361	Ex-general says Saudis unlikely to leak F-35 tech	 but China 'could exploit through intel'
International Relations	International Organizations	UN/Israel	69226245f58f79a697d31403	Chile launches intl. campaign to expel Israel from UN
International Relations	International Organizations	UN/Sanctions	69226235f58f79a697d313b1	UN human rights rapporteur calls on United States to lift sanctions on Cuba
International Relations	Middle East	Nuclear Policy	6922624ff58f79a697d31416	Kuwait calls for inspecting Israel nuclear facilities
International Relations	Middle East	US-Saudi Relations	69226259f58f79a697d31428	Jets	 chips and a clean slate: Saudi Arabia’s crown prince got almost everything he wanted from Trump
International Relations	Ukraine Conflict	Diplomacy/Hostages	6922627bf58f79a697d31516	Belarus pardons 31 Ukrainians after deal with Trump
International Relations	Ukraine Conflict	US Peace Plan	69226234f58f79a697d313a8	Trump paints Zelenskyy into a corner with his new plan to end Russia's war on Ukraine
International Relations	Ukraine Conflict	US Peace Plan	6922623ff58f79a697d313d9	Trump says Ukraine peace plan offer not final as officials set to meet in Geneva
International Relations	Ukraine Conflict	US Peace Plan	6922630ef58f79a697d3159a	Trump officials’ meeting with Russian envoy spurs questions about latest Ukraine plan
International Relations	Ukraine Conflict	US Peace Plan	6920f70a64a37efc5bbf9160	As Trump Pushes on Russia-Ukraine Peace Plan	 Zelensky’s Options Are Narrowing
International Relations	Ukraine Conflict	US Peace Plan	6922621ff58f79a697d31336	European	 Ukrainian and US officials to hold Geneva talks on Trump’s plan to end war
International Relations	Ukraine Conflict	US Peace Plan	69226312f58f79a697d315a9	Ukraine faces 'difficult choice' as Trump demands acceptance of peace plan
International Relations	Ukraine Conflict	US Peace Plan	69226312f58f79a697d315a7	What's in the U.S. peace plan for ending the war in Ukraine?
International Relations	Ukraine Conflict	US Peace Plan Reaction	6922627bf58f79a697d3151b	European leaders scramble to respond to a US peace plan for Ukraine seen as favoring Russia
International Relations	Ukraine Conflict	US Peace Plan Reaction	69226244f58f79a697d31401	EU to convene to discuss Trump’s 28-point plan for Ukraine
International Relations	Ukraine Conflict	US Peace Plan Reaction	6922627af58f79a697d3150f	European Leaders Meet in South Africa to Counter Trump Ukraine Peace Deal
International Relations	Ukraine Conflict	US Peace Plan Reaction	69226265f58f79a697d31494	European Leaders	 US Lawmakers Weigh Trump’s Ukraine Peace Plan
International Relations	Ukraine Conflict	US Peace Plan Reaction	6922622ff58f79a697d31367	European leaders push back on US plan to end war in Ukraine	 hope to amend it at Geneva meeting
International Relations	Ukraine Conflict	US Peace Plan Reaction	69226232f58f79a697d31396	G20 Leaders Push Back on Trump’s Ukraine Peace Plan
International Relations	Ukraine Conflict	US Peace Plan Reaction	69226231f58f79a697d31388	'It needs work!' Keir Starmer takes thinly veiled swipe at Donald Trump's Ukraine peace deal as PM sides with European leaders
International Relations	Ukraine Conflict	US Peace Plan Reaction	69226228f58f79a697d3134a	Any Ukraine peace plan must be accepted in Kyiv	 says Polish president
International Relations	Ukraine Conflict	US Peace Plan Reaction	69226233f58f79a697d3139c	France takes a stand against the US peace plan for Ukraine: The world is on the cusp of a 'great fracture'
International Relations	North America	Trade/Military	69226233f58f79a697d3139f	Are Fighter Jets Canada’s ‘Bargaining Chip’ in Trade Talks?
Science/Health	Health/Epidemics	Animal Health	6922630ef58f79a697d3159b	Japan confirms fifth bird flu outbreak of season
Science/Health	Health/Epidemics	US Public Health	69226235f58f79a697d313ae	Washington state man believed to be the first to die from a rare strain of bird flu
Science/Health	Health/Safety	Food Contamination	69226231f58f79a697d31385	British and Irish shoppers warned over popular herbs that may contain stalk	 bark	 and plastic
Science/Health	Health/Research	Sleep Disorders	69226275f58f79a697d314c7	Insomniacs anonymous: Do you live in one of America’s sleepiest states?
Science/Health	Health/Research	Nutrition	6922631cf58f79a697d315f6	Everyday spice may be key to fighting fat and high cholesterol	 scientists say
Science/Health	Health/Research	Mental Health	6922627af58f79a697d31504	Male suicide has reached epidemic levels—but one group of men are at the most risk
